Series,Model,Alpha_m,Alpha_ann,Alpha_t,Alpha_p,R2,N,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA,beta_UMD,t_UMD
GROSS,CAPM,-0.00033699620919180916,-0.004036467538271804,-0.17706870464179267,0.8594544235452375,0.14671893008027204,252,-0.29714318149273633,-3.3028248296991802,,,,,,,,,,
GROSS,FF3,-0.001114314658101378,-0.013290127524095419,-0.5665849700050112,0.5709961888083304,0.2690928624751916,252,-0.22414082597293356,-3.3439187185790313,-0.17575579305719133,-2.240325098185989,-0.3177010276385578,-3.4362746412616536,,,,,,
GROSS,FF5,-0.0010426721824200694,-0.012440562079020334,-0.5224514128039642,0.6013560673298219,0.2790405790886633,252,-0.20916778511544445,-3.3123440041073695,-0.18050107733733256,-1.8815890601454797,-0.39526987727185875,-4.26132848024922,-0.06227034280084788,-0.6127634250014903,0.21703143346895978,1.5852165488201115,,
GROSS,FF5+UMD,-0.0031586579168914122,-0.03725228921576895,-2.970844025923906,0.002969825695224058,0.8231300954689467,252,-0.039661248563731974,-0.8878790407924113,-0.0951860869965308,-2.555232147860005,-0.05635585905489804,-0.9593685442539507,-0.01497809786704132,-0.20487490906774186,-0.08132495606749453,-1.091525350652194,0.660507902100335,16.90124576491774
NET,CAPM,-0.0006059428684489326,-0.0072471302946295335,-0.3181604361197727,0.7503632420218949,0.14685339826779076,252,-0.2972989444355416,-3.304930443041015,,,,,,,,,,
NET,FF3,-0.0013821585757487443,-0.0164603980860053,-0.7018223923024397,0.48278993235934464,0.2689216075725359,252,-0.22441506513879372,-3.347317011087078,-0.17536299368755723,-2.234719685145788,-0.3174194641846092,-3.4347616845620608,,,,,,
NET,FF5,-0.001308917608042978,-0.015594427691572155,-0.6548631992307484,0.5125558359162138,0.2787651940750471,252,-0.20954959431696263,-3.3175589502416503,-0.1802273911571638,-1.8783170238568883,-0.3944734434467258,-4.255007258032025,-0.06241115623326765,-0.6142957697571623,0.21571682459378952,1.5752499847940704,,
NET,FF5+UMD,-0.0034260652895546566,-0.04034685998038712,-3.2274534754750333,0.0012489734987446482,0.8233805048953677,252,-0.0399499769777687,-0.8940398915289102,-0.09486555196530039,-2.5471095601233706,-0.05537331804861552,-0.9451655114435794,-0.01509294180300539,-0.2064619146223007,-0.08280340079379547,-1.1138742879763637,0.6608706054916957,16.938137196128576
