,coef,tstat
const,-0.0034260652895546566,-3.2274534754750333
Mkt-RF,-0.0399499769777687,-0.8940398915289102
SMB,-0.09486555196530039,-2.5471095601233706
HML,-0.05537331804861552,-0.9451655114435794
RMW,-0.01509294180300539,-0.2064619146223007
CMA,-0.08280340079379547,-1.1138742879763637
UMD,0.6608706054916957,16.938137196128576
